tachometer,underhang_axial,underhang_radial,underhang_tangential,overhang_axial,overhang_radial,overhang_tangential,microphone
-0.64008,1.0513,0.45595,0.12089,-1.2797,0.0042345,-0.5995,-0.020832
-0.64238,-0.15762,-0.11734,0.060609,-1.3497,0.0091375,-0.63365,0.025143
-0.63083,1.0017,0.53301,0.096378,-1.3065,0.010286,-0.60432,-0.087347
-0.64552,0.28335,-0.070752,0.015295,-1.3462,0.0089707,-0.65081,0.080073
-0.63467,0.57816,0.42107,0.051899,-1.3207,0.0078925,-0.62939,-0.10373
-0.63582,0.95889,0.041129,0.078657,-1.3013,0.0072444,-0.69609,0.028599
-0.64524,0.074274,0.19181,0.065862,-1.2997,-0.018856,-0.75837,-0.11232
-0.62884,1.1884,0.21459,0.010805,-1.2637,-0.022597,-0.75005,0.0069622
-0.64603,-0.066811,-0.017362,-0.032774,-1.294,-0.021435,-0.83045,-0.035118
-0.63446,1.3059,0.36371,0.024049,-1.2431,-0.022751,-0.82309,-0.057825
-0.63574,0.2079,-0.032439,-0.0006916,-1.2848,-0.021147,-0.87179,0.01806
-0.64368,1.0452,0.46353,0.075304,-1.251,-0.018804,-0.79906,-0.099273
-0.63091,0.53222,-0.15905,0.065477,-1.3099,-0.020999,-0.79504,0.079562
-0.64069,0.52218,0.3826,0.11594,-1.288,-0.01969,-0.72728,-0.085814
-0.63985,0.98297,0.019859,0.12269,-1.2733,-0.021711,-0.66167,0.035997
-0.62902,0.16487,0.076551,0.13143,-1.2945,-0.021262,-0.64858,-0.02918
-0.64913,1.36,0.37662,0.093147,-1.2253,-0.017367,-0.56041,-0.027963
-0.62523,0.10339,-0.043013,0.010118,-1.2821,-0.018483,-0.59413,0.035462
-0.64562,1.3363,0.56163,0.073461,-1.1938,-0.018759,-0.51742,-0.081774
-0.63283,0.33193,-0.1388,0.036375,-1.2611,-0.02243,-0.57097,0.078321
-0.63883,0.98398,0.53305,0.09675,-1.2059,-0.020389,-0.54353,-0.10475
-0.634,0.77565,-0.16568,0.042342,-1.241,-0.023008,-0.64079,0.075449
-0.64508,0.39729,0.27834,0.055766,-1.2383,-0.02406,-0.65621,-0.10229
-0.6151,1.2503,0.044547,0.032618,-1.2129,-0.026216,-0.68695,0.047436
-0.70829,0.073176,-0.035182,0.014749,-1.2508,-0.025639,-0.78932,-0.017911
-0.7084,1.394,0.29118,0.053556,-1.1778,-0.028546,-0.74548,-0.025699
-0.7368,-0.33687,-0.2681,-0.016575,-1.2448,-0.023495,-0.84762,0.05206
-0.77093,0.91708,0.46717,0.047307,-1.1471,-0.0054238,-0.77202,-0.1129
-0.72871,0.2033,-0.24804,-0.01206,-1.1834,-0.011456,-0.78621,0.11502
-0.83827,0.44836,0.42737,0.067205,-1.1316,-0.009409,-0.72242,-0.1432
-0.73422,0.80101,-0.070148,0.07348,-1.1499,-0.0112,-0.70745,0.1268
-0.85321,0.099917,0.19417,0.13097,-1.1561,-0.0060591,-0.67131,-0.088345
-0.84448,1.4108,0.22437,0.15348,-1.1186,-0.0051992,-0.61506,0.034075
-0.62404,-0.12716,0.014328,0.10881,-1.1793,-0.0028119,-0.65522,-0.035824
-0.90358,1.4269,0.36879,0.13693,-1.077,-0.0044162,-0.55838,-0.036603
-0.81629,-0.079179,-0.1551,0.049927,-1.0995,-0.0040504,-0.57298,0.13245
-0.79747,1.3043,0.4281,0.10735,-1.0334,-0.0031392,-0.54213,-0.13916
