cycle_idx,start,end,length,stat_score_raw,dl_score_raw,stat_score_norm,dl_score_norm,fused_score,is_anomaly,detection_type,stat_flagged,dl_flagged
1,3854,7707,3854,,0.20087306377374464,,0.01846151666555558,0.01846151666555558,False,TEMPLATE,False,False
2,7708,11561,3854,,0.25008901409563367,,0.029982996917148518,0.029982996917148518,False,TEMPLATE,False,False
3,11562,15415,3854,,0.2055987425472402,,0.019567800589935794,0.019567800589935794,False,TEMPLATE,False,False
4,15416,19269,3854,,0.19972553321255232,,0.018192879148400974,0.018192879148400974,False,TEMPLATE,False,False
5,19270,23123,3854,,0.22966908984300163,,0.025202681745400485,0.025202681745400485,False,TEMPLATE,False,False
6,23124,26977,3854,,0.1566624053704328,,0.008111777924919435,0.008111777924919435,False,TEMPLATE,False,False
7,26978,30831,3854,,0.12476923954591677,,0.000645570774500716,0.000645570774500716,False,TEMPLATE,False,False
8,30832,34685,3854,,0.20279549132101238,,0.018911557980944193,0.018911557980944193,False,TEMPLATE,False,False
9,34686,38539,3854,,0.19277589653696245,,0.01656596549155052,0.01656596549155052,False,TEMPLATE,False,False
10,38540,42393,3854,,0.21545942398478035,,0.021876191380052052,0.021876191380052052,False,TEMPLATE,False,False
11,42394,46247,3854,,0.12084812773348487,,0.0,0.0,False,TEMPLATE,False,False
12,46248,50101,3854,,0.18460490399889684,,0.014653131775092422,0.014653131775092422,False,TEMPLATE,False,False
13,50102,53955,3854,,0.1692926997019034,,0.01106853657247366,0.01106853657247366,False,TEMPLATE,False,False
14,53956,57809,3854,,0.12201157486453194,,0.0,0.0,False,TEMPLATE,False,False
15,57810,61663,3854,,0.3317319728537566,,0.04909565715963443,0.04909565715963443,False,TEMPLATE,False,False
16,61664,65517,3854,,0.21591474810244377,,0.02198278299913941,0.02198278299913941,False,TEMPLATE,False,False
17,65518,69371,3854,,0.22461996420666022,,0.02402067873770795,0.02402067873770795,False,TEMPLATE,False,False
18,69372,73225,3854,,0.16081285065997183,,0.009083399383531665,0.009083399383531665,False,TEMPLATE,False,False
19,73226,77079,3854,,0.219968712754996,,0.022931818289112522,0.022931818289112522,False,TEMPLATE,False,False
20,77080,80933,3854,,0.2165009269611565,,0.02212000778298263,0.02212000778298263,False,TEMPLATE,False,False
21,80934,84787,3854,7.152443156098018,1.3938282589811866,1.0,0.2977329648997831,0.7441128900410154,True,STAT_ONLY,True,False
22,84788,88641,3854,1.5510191921943104,0.22285292029792564,0.0,0.023607012815074564,0.008601756856139633,False,NORMAL,False,False
23,88642,92495,3854,2.6380533613346584,0.13513900256859618,0.181090778414248,0.0030731378355468254,0.11622596589617137,False,NORMAL,False,False
24,92496,96349,3854,1.7254377246289856,0.13824465739997793,0.012163985846437056,0.0038001732899880045,0.009116438807577402,False,NORMAL,False,False
25,96350,100203,3854,1.6350288941909645,0.1714789469827346,0.0,0.0115803382283688,0.004219561980695803,False,DL_ONLY,False,True
26,100204,104057,3854,1.7072450605612397,0.17292680427069881,0.008796491070299308,0.011919282392634695,0.009934351750835686,False,DL_ONLY,False,True
27,104058,107911,3854,6.013977243835146,0.24431701623662205,0.805980349101936,0.028631769136116283,0.5227355552895818,True,BOTH,True,True
28,107912,111765,3854,8.035733061539178,2.9128013032454034,1.0,0.6533253656912112,0.8736811414525466,True,BOTH,True,True
29,111766,115619,3854,6.446023766119115,5.049107658504336,0.8859529359326459,1.0,0.9275086008932514,True,BOTH,True,True
30,115620,119473,3854,6.215209259561176,3.8124528323576135,0.8432287564394015,0.8639342690688566,0.8507732851188866,True,BOTH,True,True
31,119474,123327,3854,1.6668556254570763,0.18281627770651268,0.001320334130450048,0.014234413404921712,0.006025875268165846,False,DL_ONLY,False,True
