cycle_idx,start,end,length,stat_score_raw,dl_score_raw,stat_score_norm,dl_score_norm,fused_score,is_anomaly,detection_type,stat_flagged,dl_flagged
1,2011,4021,2011,,0.14728696734412686,,0.04391081953002737,0.04391081953002737,False,TEMPLATE,False,False
2,4022,6032,2011,,0.11055646929889917,,0.015094113974479979,0.015094113974479979,False,TEMPLATE,False,False
3,6033,8043,2011,,0.15084097677565836,,0.046699097630802766,0.046699097630802766,False,TEMPLATE,False,False
4,8044,10054,2011,,0.08167492871116674,,0.0,0.0,False,TEMPLATE,False,False
5,10055,12065,2011,,0.11760955297493773,,0.020627571084176004,0.020627571084176004,False,TEMPLATE,False,False
6,12066,14076,2011,,0.0913171317984557,,0.0,0.0,False,TEMPLATE,False,False
7,14077,16087,2011,,0.11759907636075731,,0.020619351715473605,0.020619351715473605,False,TEMPLATE,False,False
8,16088,18098,2011,,0.1275956286031201,,0.028462090525715345,0.028462090525715345,False,TEMPLATE,False,False
9,18099,20109,2011,,0.14857336028513532,,0.04492005187324609,0.04492005187324609,False,TEMPLATE,False,False
10,20110,22120,2011,,0.12438417831274112,,0.025942565271519887,0.025942565271519887,False,TEMPLATE,False,False
11,22121,24131,2011,,0.20435165427625177,,0.08868059855446922,0.08868059855446922,False,TEMPLATE,False,False
12,24132,26142,2011,,0.09330221584403059,,0.0015573865177082385,0.0015573865177082385,False,TEMPLATE,False,False
13,26143,28153,2011,,0.10641911644833507,,0.011848177076828764,0.011848177076828764,False,TEMPLATE,False,False
14,28154,30164,2011,,0.1734196457546204,,0.06441306532603411,0.06441306532603411,False,TEMPLATE,False,False
15,30165,32175,2011,,0.10654248423115523,,0.011944964576638639,0.011944964576638639,False,TEMPLATE,False,False
16,32176,34186,2011,,0.13408794916230599,,0.0335556040875494,0.0335556040875494,False,TEMPLATE,False,False
17,34187,36197,2011,,0.18355602379543362,,0.0723655036796377,0.0723655036796377,False,TEMPLATE,False,False
18,36198,38208,2011,,0.11572812882103015,,0.019151510351171755,0.019151510351171755,False,TEMPLATE,False,False
19,38209,40219,2011,,0.1661115494748797,,0.05867953951308255,0.05867953951308255,False,TEMPLATE,False,False
20,40220,42230,2011,,0.11248387262767252,,0.016606247410396183,0.016606247410396183,False,TEMPLATE,False,False
