cycle_idx,start,end,length,stat_score_raw,dl_score_raw,stat_score_norm,dl_score_norm,fused_score,is_anomaly,detection_type,stat_flagged,dl_flagged
1,100,199,100,,,,,0.0,False,TEMPLATE,False,False
2,200,299,100,,,,,0.0,False,TEMPLATE,False,False
3,300,399,100,,,,,0.0,False,TEMPLATE,False,False
4,400,499,100,,,,,0.0,False,TEMPLATE,False,False
5,500,599,100,,,,,0.0,False,TEMPLATE,False,False
6,600,699,100,,,,,0.0,False,TEMPLATE,False,False
7,700,799,100,,,,,0.0,False,TEMPLATE,False,False
8,800,899,100,,,,,0.0,False,TEMPLATE,False,False
9,900,999,100,,,,,0.0,False,TEMPLATE,False,False
10,1000,1099,100,,,,,0.0,False,TEMPLATE,False,False
11,1100,1199,100,,,,,0.0,False,TEMPLATE,False,False
12,1200,1299,100,1.9657893268408178,,0.006289473742421137,,0.006289473742421137,False,NORMAL,False,False
13,1300,1399,100,,,,,0.0,False,TEMPLATE,False,False
14,1400,1499,100,,,,,0.0,False,TEMPLATE,False,False
15,1500,1599,100,,,,,0.0,False,TEMPLATE,False,False
16,1600,1699,100,,,,,0.0,False,TEMPLATE,False,False
17,1700,1799,100,4.995467443027692,,1.0,,1.0,True,FUSED,False,False
18,1800,1899,100,,,,,0.0,False,TEMPLATE,False,False
19,1900,1999,100,,,,,0.0,False,TEMPLATE,False,False
20,2000,2099,100,,,,,0.0,False,TEMPLATE,False,False
21,2100,2199,100,,,,,0.0,False,TEMPLATE,False,False
22,2200,2299,100,,,,,0.0,False,TEMPLATE,False,False
23,2300,2399,100,,,,,0.0,False,TEMPLATE,False,False
24,2400,2499,100,,,,,0.0,False,TEMPLATE,False,False
25,2500,2599,100,,,,,0.0,False,TEMPLATE,False,False
26,2600,2699,100,,,,,0.0,False,TEMPLATE,False,False
27,2700,2799,100,,,,,0.0,False,TEMPLATE,False,False
28,2800,2899,100,,,,,0.0,False,TEMPLATE,False,False
29,2900,2999,100,,,,,0.0,False,TEMPLATE,False,False
30,3000,3099,100,,,,,0.0,False,TEMPLATE,False,False
31,3100,3199,100,,,,,0.0,False,TEMPLATE,False,False
32,3200,3299,100,,,,,0.0,False,TEMPLATE,False,False
33,3300,3399,100,,,,,0.0,False,TEMPLATE,False,False
34,3400,3499,100,,,,,0.0,False,TEMPLATE,False,False
35,3500,3599,100,,,,,0.0,False,TEMPLATE,False,False
36,3600,3699,100,,,,,0.0,False,TEMPLATE,False,False
37,3700,3799,100,,,,,0.0,False,TEMPLATE,False,False
38,3800,3899,100,,,,,0.0,False,TEMPLATE,False,False
39,3900,3999,100,,,,,0.0,False,TEMPLATE,False,False
40,4000,4099,100,,,,,0.0,False,TEMPLATE,False,False
41,4100,4199,100,,,,,0.0,False,TEMPLATE,False,False
42,4200,4299,100,,,,,0.0,False,TEMPLATE,False,False
43,4300,4399,100,,,,,0.0,False,TEMPLATE,False,False
44,4400,4499,100,,,,,0.0,False,TEMPLATE,False,False
45,4500,4599,100,,,,,0.0,False,TEMPLATE,False,False
46,4600,4699,100,,,,,0.0,False,TEMPLATE,False,False
47,4700,4799,100,,,,,0.0,False,TEMPLATE,False,False
48,4800,4899,100,,,,,0.0,False,TEMPLATE,False,False
49,4900,4999,100,,,,,0.0,False,TEMPLATE,False,False
50,5000,5099,100,,,,,0.0,False,TEMPLATE,False,False
51,5100,5199,100,,,,,0.0,False,TEMPLATE,False,False
52,5200,5299,100,,,,,0.0,False,TEMPLATE,False,False
53,5300,5399,100,2.776702338261946,,0.2792688782402706,,0.2792688782402706,False,NORMAL,False,False
54,5400,5499,100,,,,,0.0,False,TEMPLATE,False,False
55,5500,5599,100,,,,,0.0,False,TEMPLATE,False,False
56,5600,5699,100,,,,,0.0,False,TEMPLATE,False,False
57,5700,5799,100,,,,,0.0,False,TEMPLATE,False,False
58,5800,5899,100,2.057189557195955,,0.03705773137536497,,0.03705773137536497,False,NORMAL,False,False
59,5900,5999,100,,,,,0.0,False,TEMPLATE,False,False
60,6000,6099,100,,,,,0.0,False,TEMPLATE,False,False
61,6100,6199,100,,,,,0.0,False,TEMPLATE,False,False
62,6200,6299,100,,,,,0.0,False,TEMPLATE,False,False
63,6300,6399,100,,,,,0.0,False,TEMPLATE,False,False
64,6400,6499,100,,,,,0.0,False,TEMPLATE,False,False
65,6500,6599,100,,,,,0.0,False,TEMPLATE,False,False
