cycle_idx,start,end,length,stat_score_raw,dl_score_raw,stat_score_norm,dl_score_norm,fused_score,is_anomaly,detection_type,stat_flagged,dl_flagged
1,1929,3857,1929,,0.2514949988393777,,0.0033419094544371525,0.0033419094544371525,False,TEMPLATE,False,False
2,3858,5786,1929,,0.12415787326689395,,0.00017310036596310388,0.00017310036596310388,False,TEMPLATE,False,False
3,5787,7715,1929,,0.20483352108513592,,0.002180729522626109,0.002180729522626109,False,TEMPLATE,False,False
4,7716,9644,1929,,0.2632142937962069,,0.0036335463843800197,0.0036335463843800197,False,TEMPLATE,False,False
5,9645,11573,1929,,0.1956034660947639,,0.0019510378124582269,0.0019510378124582269,False,TEMPLATE,False,False
6,11574,13502,1929,,0.18996082266999614,,0.001810619535486486,0.001810619535486486,False,TEMPLATE,False,False
7,13503,15431,1929,,0.1801577607790629,,0.0015666684373663985,0.0015666684373663985,False,TEMPLATE,False,False
8,15432,17360,1929,,0.2064359997565151,,0.0022206075154355327,0.0022206075154355327,False,TEMPLATE,False,False
9,17361,19289,1929,,0.13587681170732335,,0.00046472842392615473,0.00046472842392615473,False,TEMPLATE,False,False
10,19290,21218,1929,,0.2661291934394588,,0.0037060842278408292,0.0037060842278408292,False,TEMPLATE,False,False
11,21219,23147,1929,,0.17889022849461372,,0.0015351256504153104,0.0015351256504153104,False,TEMPLATE,False,False
12,23148,25076,1929,,0.14775434619999336,,0.0007603031754357792,0.0007603031754357792,False,TEMPLATE,False,False
13,25077,27005,1929,,0.15425746344111824,,0.0009221345103622036,0.0009221345103622036,False,TEMPLATE,False,False
14,27006,28934,1929,,0.13491652259088588,,0.0004408314428528884,0.0004408314428528884,False,TEMPLATE,False,False
15,28935,30863,1929,,0.11720191523286133,,0.0,0.0,False,TEMPLATE,False,False
16,30864,32792,1929,,0.1455595215710235,,0.0007056845384858866,0.0007056845384858866,False,TEMPLATE,False,False
17,32793,34721,1929,,0.17594478854368426,,0.0014618278054694784,0.0014618278054694784,False,TEMPLATE,False,False
18,34722,36650,1929,,0.18693041559998635,,0.0017352072672885764,0.0017352072672885764,False,TEMPLATE,False,False
19,36651,38579,1929,3.438375249511113,0.12404849704492975,0.0,0.00017037851744748116,4.595210703910332e-05,False,STAT_ONLY,True,False
20,38580,40508,1929,,0.13132023911371274,,0.00035133723041514634,0.00035133723041514634,False,TEMPLATE,False,False
21,40509,42437,1929,,0.1896165314268459,,0.0018020517810670923,0.0018020517810670923,False,TEMPLATE,False,False
22,42438,44366,1929,,0.13590072079764298,,0.0004653234062799763,0.0004653234062799763,False,TEMPLATE,False,False
23,44367,46295,1929,,0.09443076175672035,,0.0,0.0,False,TEMPLATE,False,False
24,46296,48224,1929,,0.19341944808062786,,0.0018966881002162473,0.0018966881002162473,False,TEMPLATE,False,False
25,48225,50153,1929,3.0228563690467665,0.12267951155943728,0.0,0.00013631104789439897,3.6763906373270085e-05,False,NORMAL,False,False
26,50154,52082,1929,7.626785244587799,42.92526417473952,1.0,1.0,1.0,True,BOTH,True,True
27,52083,54011,1929,4.070908109526167,9.420496144491525,1.0,0.2315142828447309,0.7927347974275787,True,STAT_ONLY,True,False
28,54012,55940,1929,4.291333382562421,0.29799380328471736,1.0,0.004499041229378126,0.731507426521313,True,STAT_ONLY,True,False
29,55941,57869,1929,5.104908321676098,0.2990029984050327,1.0,0.0045241552458514965,0.7315141999220354,True,STAT_ONLY,True,False
30,57870,59798,1929,8.922024089833114,35.65265347339489,1.0,0.8843066101443862,0.9687967995378254,True,BOTH,True,True
31,59799,61727,1929,7.826609338382564,38.1552179676515,1.0,0.9465834133802088,0.9855932265241549,True,BOTH,True,True
32,61728,63656,1929,6.467371490900001,35.5307085044958,1.0,0.8812719859214515,0.9679783432018689,True,BOTH,True,True
