cycle_idx,start,end,length,stat_score_raw,dl_score_raw,stat_score_norm,dl_score_norm,fused_score,is_anomaly,detection_type,stat_flagged,dl_flagged
1,1904,3807,1904,,,,,0.0,False,TEMPLATE,False,False
2,3808,5711,1904,,,,,0.0,False,TEMPLATE,False,False
3,5712,7615,1904,,,,,0.0,False,TEMPLATE,False,False
4,7616,9519,1904,,,,,0.0,False,TEMPLATE,False,False
5,9520,11423,1904,,,,,0.0,False,TEMPLATE,False,False
6,11424,13327,1904,,,,,0.0,False,TEMPLATE,False,False
7,13328,15231,1904,,,,,0.0,False,TEMPLATE,False,False
8,15232,17135,1904,,,,,0.0,False,TEMPLATE,False,False
9,17136,19039,1904,,,,,0.0,False,TEMPLATE,False,False
10,19040,20943,1904,,,,,0.0,False,TEMPLATE,False,False
11,20944,22847,1904,,,,,0.0,False,TEMPLATE,False,False
12,22848,24751,1904,,,,,0.0,False,TEMPLATE,False,False
13,24752,26655,1904,,,,,0.0,False,TEMPLATE,False,False
14,26656,28559,1904,,0.05035325884819031,,0.0437967456687793,0.0437967456687793,False,TEMPLATE,False,True
15,28560,30463,1904,,0.05250011384487152,,0.045686518277528454,0.045686518277528454,False,TEMPLATE,False,True
16,30464,32367,1904,,0.07808015495538712,,0.06820339114321261,0.06820339114321261,False,TEMPLATE,False,True
17,32368,34271,1904,4.415411673517417,1.4929107427597046,1.0,1.0,1.0,True,BOTH,True,True
18,34272,36175,1904,2.753676017592678,0.06226795166730881,0.0,0.05428467343569302,0.025795445372803174,False,DL_ONLY,False,True
19,36176,38079,1904,,0.06561017781496048,,0.0572266734477298,0.0572266734477298,False,TEMPLATE,False,True
20,38080,39983,1904,,0.0468897745013237,,0.04074800792931479,0.04074800792931479,False,TEMPLATE,False,False
21,39984,41887,1904,,0.0689493790268898,,0.06016601075516838,0.06016601075516838,False,TEMPLATE,False,True
22,41888,43791,1904,,0.046535149216651917,,0.04043584844468327,0.04043584844468327,False,TEMPLATE,False,False
23,43792,45695,1904,,0.0555448941886425,,0.04836669113606391,0.04836669113606391,False,TEMPLATE,False,True
24,45696,47599,1904,,0.037808094173669815,,0.03275384402390559,0.03275384402390559,False,TEMPLATE,False,False
25,47600,49503,1904,,0.07633015513420105,,0.06666295094929837,0.06666295094929837,False,TEMPLATE,False,True
26,49504,51407,1904,1.1444482401942624,0.05916662514209747,0.0,0.05155472570881269,0.024498205967968745,False,DL_ONLY,False,True
27,51408,53311,1904,1.7297049245721685,0.05824701488018036,0.0,0.05074523727741787,0.024113546481406713,False,DL_ONLY,False,True
28,53312,55215,1904,5.921958109681214,1.8731985092163086,1.0,1.0,1.0,True,BOTH,True,True
29,55216,57119,1904,4.421426811455271,7.12491512298584,1.0,1.0,1.0,True,BOTH,True,True
30,57120,59023,1904,3.7172511419362437,2.440073013305664,0.5636815468878481,1.0,0.7710150005141923,True,BOTH,True,True
31,59024,60927,1904,4.4990756612447225,0.15610627830028534,1.0,0.13688601334732722,0.5898582733563579,True,BOTH,True,True
32,60928,62831,1904,6.304874597713184,1.6580830812454224,1.0,1.0,1.0,True,BOTH,True,True
33,62832,64735,1904,4.578449900071434,2.834519863128662,1.0,1.0,1.0,True,BOTH,True,True
34,64736,66639,1904,5.03085096576369,4.004340171813965,1.0,1.0,1.0,True,BOTH,True,True
